"doc_id","AB","TI","DI","LA"
"ABD-AZIZ S, 2002, J BIOSCI BIOENG 1","The importance and development of industrial biotechnology processing has led to the utilisation of microbial enzymes in various applications. One of the important enzymes is amylase, which hydrolyses starch to glucose. In Malaysia, the use of sago starch has been increasing, and it is presently being used for the production of glucose. Sago starch represents an alternative cheap carbon source for fermentation processes that is attractive out of both economic and geographical considerations. Production of fermentable sugars from the hydrolysis of starches is normally carried out by an enzymatic processes that involves two reaction steps, liquefaction and saccharification, each of which has different temperature and pH optima with respect to the maximum reaction rate. This method of starch hydrolysis requires the use of an expensive temperature control system and a complex mixing device. Our laboratory has investigated the possibility of using amylolytic enzyme-producing microorganisms in the continuous single-step biological hydrolysis of sago flour for the production of a generic fermentation medium. The ability of a novel DNA-recombinated yeast, Saccharomyces cerevisiae strain YKU 107 (expressing alpha-amylase production) to hydrolyse gelatinised sago starch production has been studied with the aim of further utilizing sago starch to obtain value-added products.","Sago starch and its utilisation.",NA,"ENG"
"ABD-AZIZ S, 2002, J BIOSCI BIOENG 2","The importance and development of industrial biotechnology processing has led to the utilisation of microbial enzymes in various applications. One of the important enzymes is amylase, which hydrolyses starch to glucose. In Malaysia, the use of sago starch has been increasing, and it is presently being used for the production of glucose. Sago starch represents an alternative cheap carbon source for fermentation processes that is attractive out of both economic and geographical considerations. Production of fermentable sugars from the hydrolysis of starches is normally carried out by an enzymatic processes that involves two reaction steps, liquefaction and saccharification, each of which has different temperature and pH optima with respect to the maximum reaction rate. This method of starch hydrolysis requires the use of an expensive temperature control system and a complex mixing device. Our laboratory has investigated the possibility of using amylolytic enzyme-producing microorganisms in the continuous single-step biological hydrolysis of sago flour for the production of a generic fermentation medium. The ability of a novel DNA-recombinated yeast, Saccharomyces cerevisiae strain YKU 107 (expressing α-amylase production) to hydrolyse gelatinised sago starch production has been studied with the aim of further utilizing sago starch to obtain value-added products.","Sago starch and its utilisation","10.1016/S1389-1723(02)80190-6","ENGLISH"
"ABD-AZIZ S, 2002, J BIOSCI BIOENG 3","The importance and development of industrial biotechnology processing has led to the utilisation of microbial enzymes in various applications. One of the important enzymes is amylase, which hydrolyses starch to glucose. In Malaysia, the use of sago starch has been increasing, and it is presently being used for the production of glucose. Sago starch represents an alternative cheap carbon source for fermentation processes that is attractive out of both economic and geographical considerations. Production of fermentable sugars from the hydrolysis of starches is normally carried out by an enzymatic processes that involves two reaction steps, liquefaction and saccharification, each of which has different temperature and pH optima with respect to the maximum reaction rate. This method of starch hydrolysis requires the use of an expensive temperature control system and a complex mixing device. Our laboratory has investigated the possibility of using amylolytic enzyme-producing microorganisms in the continuous single-step biological hydrolysis of sago flour for the production of a generic fermentation medium. The ability of a novel DNA-recombinated yeast, Saccharomyces cerevisiae strain YKU 107 (expressing a-amylase production) to hydrolyse gelatinised sago starch production has been studied with the aim of further utilizing sago starch to obtain value-added products.","Sago starch and its utilisation","10.1016/S1389-1723(02)80190-6","ENGLISH"
"ABEL AJ, 2022, ENERGY ENVIRON SCI 1","Electromicrobial production (EMP) processes, in which electricity or electrochemically-derived mediator molecules serve as energy sources to drive biochemical processes, represent an attractive strategy for the conversion of CO2 into carbon-based products. However, these systems have yet to be employed on an industrial scale, limiting our understanding of their potential performance and environmental benefits/impacts. We describe the development and application of a comprehensive framework to analyze EMP systems relying on reactor, process, and life cycle impact models. This framework is used to analyze three proposed EMP systems relying on formate, H2, and acetate as intermediate molecules, each producing three hypothetical products: biomass, lactic acid, and industrial enzymes. Physics-based bioreactor models predict that EMP systems can achieve productivities up to 0.65 g L−1 h−1 for biomass production and 0.42 g L−1 h−1 for the production of lactic acid. Despite improved solubility of formate as a substrate, formate-fed EMP systems do not lead to improved productivities compared to H2-fed systems due to O2 gas-liquid mass transfer limitations (for biomass and enzymes) or salinity-induced toxicity issues (for lactic acid). Process models revealed that substrate generation was by far the largest energy demand of the EMP systems, followed by carbon capture and ammonia production, while energy required for gas-liquid mass transfer and fluid mixing accounted for only a small fraction of the systems’ energy footprints. Life cycle impact model results demonstrated that EMP systems can achieve a smaller carbon footprint than traditional bioprocessing strategies provided the electric grid supplying electricity to the EMP system is composed of at least 90% renewable energy sources. For each of the three products we consider, the H2-mediated Knallgas bacteria system achieves the lowest overall global warming potential, indicating that this EMP strategy may be best-suited for industrial efforts based on current technology. EMP systems also would use ∼95% less land compared to traditional bioprocesses. We also identify environmental hotspots and process limitations that are key targets for future engineering and research efforts for each EMP system. Our analysis demonstrates the utility of an integrated assessment framework and should help guide the design of working, scalable, and sustainable electromicrobial production systems. © 2022 The Royal Society of Chemistry.","A comparative life cycle analysis of electromicrobial production systems","10.1039/d2ee00569g","ENGLISH"
"ABEL AJ, 2022, ENERGY ENVIRON SCI 2","Electromicrobial production (EMP) processes, in which electricity or electrochemically-derived mediator molecules serve as energy sources to drive biochemical processes, represent an attractive strategy for the conversion of CO2 into carbon-based products. However, these systems have yet to be employed on an industrial scale, limiting our understanding of their potential performance and environmental benefits/impacts. We describe the development and application of a comprehensive framework to analyze EMP systems relying on reactor, process, and life cycle impact models. This framework is used to analyze three proposed EMP systems relying on formate, H-2, and acetate as intermediate molecules, each producing three hypothetical products: biomass, lactic acid, and industrial enzymes. Physics-based bioreactor models predict that EMP systems can achieve productivities up to 0.65 g L-1 h(-1) for biomass production and 0.42 g L-1 h(-1) for the production of lactic acid. Despite improved solubility of formate as a substrate, formate-fed EMP systems do not lead to improved productivities compared to H-2-fed systems due to O-2 gas-liquid mass transfer limitations (for biomass and enzymes) or salinity-induced toxicity issues (for lactic acid). Process models revealed that substrate generation was by far the largest energy demand of the EMP systems, followed by carbon capture and ammonia production, while energy required for gas-liquid mass transfer and fluid mixing accounted for only a small fraction of the systems' energy footprints. Life cycle impact model results demonstrated that EMP systems can achieve a smaller carbon footprint than traditional bioprocessing strategies provided the electric grid supplying electricity to the EMP system is composed of at least 90\% renewable energy sources. For each of the three products we consider, the H-2-mediated Knallgas bacteria system achieves the lowest overall global warming potential, indicating that this EMP strategy may be best-suited for industrial efforts based on current technology. EMP systems also would use similar to 95\% less land compared to traditional bioprocesses. We also identify environmental hotspots and process limitations that are key targets for future engineering and research efforts for each EMP system. Our analysis demonstrates the utility of an integrated assessment framework and should help guide the design of working, scalable, and sustainable electromicrobial production systems.","A comparative life cycle analysis of electromicrobial production systems","10.1039/d2ee00569g","ENGLISH"
"ADAV SS, 2015, J PROTEOMICS 1","Aspergillus sp. plays an essential role in lignocellulosic biomass recycling and is also exploited as cell factories for the production of industrial enzymes. This study profiled the secretome of Aspergillus fumigatus when grown with cellulose, xylan and starch by high throughput quantitative proteomics using isobaric tags for relative and absolute quantification (iTRAQ). Post translational modifications (PTMs) of proteins play a critical role in protein functions. However, our understanding of the PTMs in secretory proteins is limited. Here, we present the identification of PTMs such as deamidation of secreted proteins of A. fumigatus. This study quantified diverse groups of extracellular secreted enzymes and their functional classification revealed cellulases and glycoside hydrolases (32.9%), amylases (0.9%), hemicellulases (16.2%), lignin degrading enzymes (8.1%), peptidases and proteases (11.7%), chitinases, lipases and phosphatases (7.6%), and proteins with unknown function (22.5%). The comparison of quantitative iTRAQ results revealed that cellulose and xylan stimulates expression of specific cellulases and hemicellulases, and their abundance level as a function of substrate. In-depth data analysis revealed deamidation as a major PTM of key cellulose hydrolyzing enzymes like endoglucanases, cellobiohydrolases and glucosidases. Hemicellulose degrading endo-1,4-beta-xylanase, monosidases, xylosidases, lignin degrading laccase, isoamyl alcohol oxidase and oxidoreductases were also found to be deamidated. BIOLOGICAL SIGNIFICANCE: The filamentous fungi play an essential role in lignocellulosic biomass recycling and fungal strains belonging to Aspergillus were also exploited as cell factories for the production of organic acids, pharmaceuticals, and industrially important enzymes. In this study, extracellular proteins secreted by thermophilic A. fumigatus when grown with cellulose, xylan and starch were profiled using isobaric tags for relative and absolute quantification (iTRAQ) by adopting liquid chromatography tandem mass spectrometry. The comparison of quantitative iTRAQ results revealed that cellulose and xylan stimulate expression of specific cellulases and hemicellulases, and expression level as a function of substrate. Post translational modifications revealed deamidation of key cellulases including endoglucanases, cellobiohydrolases and glucosidases; and hemicellulases and lignin degrading enzymes. The knowledge on deamidated enzymes along with specific sites of modifications could be crucial information for further functional studies of these enzymes of A. fumigatus.","Quantitative proteomic study of Aspergillus Fumigatus secretome revealed deamidation of secretory enzymes.","S1874-3919(15)00071-8","ENG"
"ADAV SS, 2015, J PROTEOMICS 2","Aspergillus sp. plays an essential role in lignocellulosic biomass recycling and is also exploited as cell factories for the production of industrial enzymes. This study profiled the secretome of Aspergillus fumigatus when grown with cellulose, xylan and starch by high throughput quantitative proteomics using isobaric tags for relative and absolute quantification (iTRAQ). Post translational modifications (PTMs) of proteins play a critical role in protein functions. However, our understanding of the PTMs in secretory proteins is limited. Here, we present the identification of PTMs such as deamidation of secreted proteins of A. fumigatus. This study quantified diverse groups of extracellular secreted enzymes and their functional classification revealed cellulases and glycoside hydrolases (32.9%), amylases (0.9%), hemicellulases (16.2%), lignin degrading enzymes (8.1%), peptidases and proteases (11.7%), chitinases, lipases and phosphatases (7.6%), and proteins with unknown function (22.5%). The comparison of quantitative iTRAQ results revealed that cellulose and xylan stimulates expression of specific cellulases and hemicellulases, and their abundance level as a function of substrate. In-depth data analysis revealed deamidation as a major PTM of key cellulose hydrolyzing enzymes like endoglucanases, cellobiohydrolases and glucosidases. Hemicellulose degrading endo-1,4-beta-xylanase, monosidases, xylosidases, lignin degrading laccase, isoamyl alcohol oxidase and oxidoreductases were also found to be deamidated. Biological significance: The filamentous fungi play an essential role in lignocellulosic biomass recycling and fungal strains belonging to Aspergillus were also exploited as cell factories for the production of organic acids, pharmaceuticals, and industrially important enzymes. In this study, extracellular proteins secreted by thermophilic A. fumigatus when grown with cellulose, xylan and starch were profiled using isobaric tags for relative and absolute quantification (iTRAQ) by adopting liquid chromatography tandem mass spectrometry. The comparison of quantitative iTRAQ results revealed that cellulose and xylan stimulate expression of specific cellulases and hemicellulases, and expression level as a function of substrate. Post translational modifications revealed deamidation of key cellulases including endoglucanases, cellobiohydrolases and glucosidases; and hemicellulases and lignin degrading enzymes. The knowledge on deamidated enzymes along with specific sites of modifications could be crucial information for further functional studies of these enzymes of A. fumigatus. © 2015 Elsevier B.V.","Quantitative proteomic study of Aspergillus Fumigatus secretome revealed deamidation of secretory enzymes","10.1016/j.jprot.2015.02.007","ENGLISH"
"ADAV SS, 2015, J PROTEOMICS 3","Aspergillus sp. plays an essential role in lignocellulosic biomass recycling and is also exploited as cell factories for the production of industrial enzymes. This study profiled the secretome of Aspergillus fumigatus when grown with cellulose, xylan and starch by high throughput quantitative proteomics using isobaric tags for relative and absolute quantification (iTRAQ). Post translational modifications (PTMs) of proteins play a critical role in protein functions. However, our understanding of the PTMs in secretory proteins is limited. Here, we present the identification of PTMs such as deamidation of secreted proteins of A. fumigatus. This study quantified diverse groups of extracellular secreted enzymes and their functional classification revealed cellulases and glycoside hydrolases (32.9\%), amylases (0.9\%), hemicellulases (16.2\%), lignin degrading enzymes (8.1\%), peptidases and proteases (11.7\%), chitinases, lipases and phosphatases (7.6\%), and proteins with unknown function (22.5\%). The comparison of quantitative iTRAQ results revealed that cellulose and xylan stimulates expression of specific cellulases and hemicellulases, and their abundance level as a function of substrate. In-depth data analysis revealed deamidation as a major PTM of key cellulose hydrolyzing enzymes like endoglucanases, cellobiohydrolases and glucosidases. Hemicellulose degrading endo-1,4-betaxylanase, monosidases, xylosidases, lignin degrading laccase, isoamyl alcohol oxidase and oxidoreductases were also found to be deamidated. Biological significance The filamentous fungi play an essential role in lignocellulosic biomass recycling and fungal strains belonging to Aspergillus were also exploited as cell factories for the production of organic acids, pharmaceuticals, and industrially important enzymes. In this study, extracellular proteins secreted by thermophilic A. fumigatus when grown with cellulose, xylan and starch were profiled using isobaric tags for relative and absolute quantification (iTRAQ) by adopting liquid chromatography tandem mass spectrometry. The comparison of quantitative iTRAQ results revealed that cellulose and xylan stimulate expression of specific cellulases and hemicellulases, and expression level as a function of substrate. Post translational modifications revealed deamidation of key cellulases including endoglucanases, cellobiohydrolases and glucosidases; and hemicellulases and lignin degrading enzymes. The knowledge on deamidated enzymes along with specific sites of modifications could be crucial information for further functional studies of these enzymes of A. fumigatus. (C) 2015 Elsevier B.V. All rights reserved.","Quantitative proteomic study of Aspergillus Fumigatus secretome revealed deamidation of secretory enzymes","10.1016/j.jprot.2015.02.007","ENGLISH"
"AGOSTINHO F, 2015, ECOL MODEL","Lignocellulosic ethanol is considered as a good alternative to increase the current amount of first generation ethanol produced, since it does not compete for land with food production. Biochemical technological routes have high potential to be adopted for lignocellulosic ethanol production, in which hydrolysis processes demand cellulase enzymes to convert cellulose and hemicellulose materials into fermentable sugars. Thus, an integral evaluation of lignocellulosic ethanol requires knowledge of the energetic-environmental costs of production of enzymes, which generally occurs off-site of biorefinery plants in specialized companies. The aims of this work are to assess the energetic-environmental costs of cellulase enzyme production and verify their influence on the lignocellulosic ethanol overall cost. For this, the production of industrial enzyme operating under submerged fermentation process was assessed by (i) emergy accounting, (ii) embodied energy analysis, (iii) and emission inventory. Monte Carlo simulation was used for uncertainty analysis. Results show that cellulase enzyme demands 4.06E14seJ/kgenzyme and 1664MJ/kgenzyme with a global warming potential of 21.90kgCO2-eq./kgenzyme. These values are equivalent to 0.41%, 0.49%, and 0.02%, respectively, of the emergy, embodied energy, and global warming potential of lignocellulosic ethanol production, making their contribution to the overall energetic-environmental costs negligible when compared to other input resources of the ethanol production chain such as limestone and diesel. © 2014 Elsevier B.V.","Influence of cellulase enzyme production on the energetic-environmental performance of lignocellulosic ethanol","10.1016/j.ecolmodel.2014.09.005","ENGLISH"
"AKBARI E, 2018, INT J ENVIRON SCI TECHNOL 1","Alkaline lipases are one of the most important industrial enzymes that have several uses in detergents, food, pharmaceutical, cosmetics, textile, leather and biomedical industries. For screening the lipase-producing bacteria, olive agar A, B, C and Rhodamine B agar were used. The best environmental conditions and their interactions for alkaline lipase production were obtained using Taguchi statistical test. Enzyme purification was carried out by ammonium sulfate precipitation, dialysis and SDS-PAGE, respectively. The best alkaline lipase-producing strain, WS3, isolated from Persian Gulf, was named Marinobacter alkaliphilus ABN-IAUF-1 (GenBank accession number: KP403723). The maximum enzyme activity of 37.00 (μ/ml) was measured in the presence of coconut oil as the carbon source in oil broth medium after 48-h incubation at the pH 8.00 and 30 °C. The most effective factors in enzyme production were nitrogen and carbon sources with 32 and 25% of influence, respectively. Precipitation and dialysis increased the enzyme purity 1.90–2.33 times. The total enzyme activity of 925.00 ± 20.00 U in the oil broth, 96.00 ± 7.00 U after precipitation with ammonium sulfate and 60.00 ± 5.00 U after dialysis was measured. The molecular weight of alkaline lipase was measured as 55 kDa. In conclusion, this is the first report of production of alkaline lipase by a halo-alkalophilic bacterium, Marinobacter alkaliphilus ABN-IAUF-1, that was obtained from Persian Gulf, Iran. The application of enzymes produced by extremophiles such as Marinobacter alkaliphilus could be an asset in the modern environmental microbiology as well as food and industrial biotechnology. © 2017, Islamic Azad University (IAU).","A novel halo-alkalo-tolerant bacterium, Marinobacter alkaliphilus ABN-IAUF-1, isolated from Persian Gulf suitable for alkaline lipase production","10.1007/s13762-017-1503-z","ENGLISH"
